case, date, number
new, Feb 29 2020, 1
new, Mar 1 2020, 2
new, Mar 2 2020, 4
new, Mar 3 2020, 1
new, Mar 6 2020, 3
new, Mar 7 2020, 1
new, Mar 8 2020, 3
new, Mar 9 2020, 3
new, Mar 10 2020, 6
new, Mar 11 2020, 238
new, Mar 13 2020, 58
new, Mar 14 2020, 17
new, Mar 15 2020, 64
new, Mar 16 2020, 38
new, Mar 17 2020, 3
new, Mar 18 2020, 10
confirmed, Feb 29 2020, 1
confirmed, Mar 1 2020, 3
confirmed, Mar 2 2020, 7
confirmed, Mar 3 2020, 8
confirmed, Mar 6 2020, 11
confirmed, Mar 7 2020, 12
confirmed, Mar 8 2020, 15
confirmed, Mar 9 2020, 18
confirmed, Mar 10 2020, 24
confirmed, Mar 11 2020, 262
confirmed, Mar 13 2020, 320
confirmed, Mar 14 2020, 337
confirmed, Mar 15 2020, 401
confirmed, Mar 16 2020, 439
confirmed, Mar 17 2020, 442
confirmed, Mar 18 2020, 452